Position,"Track Name",Artist,Streams,URL
55,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1375287,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
56,Fiel,"Los Legendarios",1342607,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
57,"Best Friend (feat. Doja Cat)",Saweetie,1274647,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
58,"Dance Monkey","Tones And I",1246843,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
59,"Before You Go","Lewis Capaldi",1234471,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
60,Heather,"Conan Gray",1231705,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
61,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1230969,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
62,Reloj,"Rauw Alejandro",1230778,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
63,"Roses - Imanbek Remix","SAINt JHN",1208306,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
64,Hawái,Maluma,1208111,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
65,"Adore You","Harry Styles",1199499,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
66,"My Head & My Heart","Ava Max",1182693,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
67,Golden,"Harry Styles",1179578,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
68,Circles,"Post Malone",1172773,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
69,"lovely (with Khalid)","Billie Eilish",1151527,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
70,"At My Worst","Pink Sweat$",1132191,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
71,willow,"Taylor Swift",1122133,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
72,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1101628,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
73,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1086110,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
74,"La Nota","Manuel Turizo",1067572,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
75,"No Te Enamores - Remix",Milly,1059525,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
76,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1054657,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
77,Goosebumps,HVME,1050303,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
78,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1047438,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1045469,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
80,"Machu Picchu",Camilo,1037837,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
81,"death bed (coffee for your head)",Powfu,1033090,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
